"Date","Contract","Hours","Amount","Payment type"
"2023-09-16","Bootstrap5 Expert (34848691)","5.5","16.5",""
"2023-09-17","Bootstrap5 Expert (34848691)","4","12",""
"2023-09-21","Bootstrap5 Expert (34848691)","0.33333","1",""
"2023-10-23","Bootstrap5 Expert (34848691)","7.5","22.5",""
"2023-10-25","Bootstrap5 Expert (34848691)","4.5","13.5",""
"2023-10-26","Bootstrap5 Expert (34848691)","8.66667","26",""
"2023-10-27","Bootstrap5 Expert (34848691)","0.5","1.5",""
"2023-11-27","Bootstrap5 Expert (34848691)","2.66667","8",""
"2023-12-01","Looking for a developer to help with basic HTML code updates for an existing website (35559654)","","15","Fixed Price Payment"
"2023-12-10","HTML Front End Dev (35695275)","8.33333","125",""
"2023-12-11","Bootstrap5 Expert (34848691)","8.33333","25",""
"2023-12-11","HTML Front End Dev (35695275)","5.16667","77.5",""
"2023-12-12","HTML Front End Dev (35695275)","4.83333","72.5",""
"2023-12-13","HTML Front End Dev (35695275)","6","90",""
"2023-12-14","HTML Front End Dev (35695275)","3.33333","50",""
"2023-12-15","HTML Front End Dev (35695275)","5","75",""
"2023-12-16","HTML Front End Dev (35695275)","1","15",""
"2023-12-18","HTML Front End Dev (35695275)","4.66667","70",""
"2023-12-19","HTML Front End Dev (35695275)","0.5","7.5",""
"2023-12-20","HTML Front End Dev (35695275)","2.16667","32.5",""
"2023-12-21","HTML Front End Dev (35695275)","3.5","52.5",""
"2023-12-22","HTML Front End Dev (35695275)","1.33333","20",""
"2023-12-23","HTML Front End Dev (35695275)","1","15",""
"2023-12-24","HTML Front End Dev (35695275)","1","15",""
"2023-12-25","HTML Front End Dev (35695275)","0.83333","12.5",""
"2024-02-05","HTML Front End Dev (35695275)","2.16667","32.5",""
"2024-02-06","HTML Front End Dev (35695275)","0.16667","2.5",""
"2024-02-26","HTML Page Builder (36473604)","1.33333","4",""
"2024-02-27","HTML Page Builder (36473604)","7","21",""
"2024-02-28","HTML Page Builder (36473604)","1","3",""
"2024-02-29","HTML Page Builder (36473604)","5.66667","17",""
"2024-03-01","HTML Page Builder (36473604)","3.5","10.5",""
"2024-03-02","HTML Page Builder (36473604)","1.5","4.5",""
"2024-03-04","HTML Page Builder (36473604)","4.5","13.5",""
"2024-03-06","HTML Page Builder (36473604)","5.83333","17.5",""
"2024-03-10","HTML Page Builder (36473604)","2","6",""
"2024-03-11","HTML Page Builder (36473604)","3.66667","11",""
"2024-03-12","HTML Page Builder (36473604)","2","6",""
"2024-03-13","HTML Page Builder (36473604)","5","15",""
"2024-03-15","HTML Page Builder (36473604)","0.33333","1",""
"2024-03-16","HTML Page Builder (36473604)","6","18",""
"2024-03-17","HTML Page Builder (36473604)","3","9",""
"2024-03-18","HTML Page Builder (36473604)","4.5","13.5",""
"2024-03-20","HTML Page Builder (36473604)","1.83333","5.5",""
"2024-03-21","HTML Page Builder (36473604)","3.33333","10",""
"2024-03-23","HTML Page Builder (36473604)","2.16667","6.5",""
"2024-03-24","HTML Page Builder (36473604)","8.16667","24.5",""
"2024-03-27","HTML Page Builder (36473604)","6.16667","18.5",""
"2024-03-29","HTML Page Builder (36473604)","2","6",""
"2024-03-31","HTML Page Builder (36473604)","9.33333","28",""
"2024-04-01","HTML Page Builder (36473604)","0.66667","2",""
"2024-04-03","HTML Page Builder (36473604)","5.66667","17",""
"2024-04-04","HTML Page Builder (36473604)","2.66667","8",""
"2024-04-04","Mini Site Creation (36873991)","2.33333","23.33",""
"2024-04-05","HTML Page Builder (36473604)","3.16667","9.5",""
"2024-04-05","Mini Site Creation (36873991)","3.83333","38.33",""
"2024-04-06","HTML Page Builder (36473604)","3","9",""
"2024-04-06","Mini Site Creation (36873991)","1","10",""
"2024-04-07","HTML Page Builder (36473604)","4.83333","14.5",""
"2024-04-07","Mini Site Creation (36873991)","0.5","5",""
"2024-04-08","Mini Site Creation (36873991)","0.33333","3.33",""
"2024-04-09","Mini Site Creation (36873991)","2.16667","21.67",""
"2024-04-11","Mini Site Creation (36873991)","2","20",""
"2024-04-13","Mini Site Creation (36873991)","1.16667","11.67",""
"2024-04-14","Mini Site Creation (36873991)","1.5","15",""
"2024-04-15","HTML Front End Dev (35695275)","1","15",""
"2024-04-15","Mini Site Creation (36873991)","2","20",""
"2024-04-16","HTML Front End Dev (35695275)","5","75",""
"2024-04-16","HTML Page Builder (36473604)","0.16667","0.5",""
"2024-04-16","Mini Site Creation (36873991)","","10","Bonus"
"2024-04-16","Mini Site Creation (36873991)","0.33333","3.33",""
